web-scraper-order,web-scraper-start-url,pagination,item_name,item_price
"1727766930-11","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","FuelMeFoot 3 Pack Copper Compression Socks - Compression Socks Women & Men Circulation - Best for Medical,Running,Athletic","$14.99"
"1727766930-12","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Champion Men's Every Day Comfort Stretch Cotton Boxer Briefs (3 Pack)","$25.99"
"1727766930-13","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Hanes Men's Boxer Briefs, Soft and Breathable Cotton Underwear with ComfortFlex Waistband, Multipack","Best Seller"
"1727766930-14","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","J.VER Men's Dress Shirts Solid Long Sleeve Stretch Wrinkle-Free Formal Shirt Business Casual Button Down Shirts","Best Seller"
"1727766930-15","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Rain Ponchos,with Drawstring Hood （10 Pack） Emergency Disposable Rain Ponchos Family Pack for Adults,Clear","$13.36"
"1727766930-16","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Gildan Men's Crew T-Shirts, Multipack, Style G1100","Best Seller"
"1727766930-17","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Legendary Whitetails Men's Journeyman Shirt Jacket, Flannel Lined Shacket for Men, Water-Resistant Coat Rugged Fall Clothing","$89.99"
"1727766930-18","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","FZNHQL Fashion Men's Tracksuits 2 Piece Casual Athletic Jogging Outfits Short/Long Sleeve Track Suits for Men Set","$36.99"
"1727766930-19","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Tanst Sky Men's Polo Shirts Long Sleeve Collared V Neck Pocket Knit Tops Business Casual Golf Slim Fit Clothes","$26.99"
"1727766930-20","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","COOFANDY Mens Hawaiian Shirts Short Sleeve Button Down Aloha Shirt Casual Beach Clothes","$24.99"
"1727766930-21","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","CHARMKING Compression Socks for Women & Men Circulation (3 Pairs) 15-20 mmHg is Best Support for Athletic Running Cycling","Best Seller"
"1727766930-22","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Hagon PRO Disposable Rain Ponchos for Adults (5 Pack)","$11.99"
"1727766930-23","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Nike Dri-Fit Crew cut socks","$31.59"
"1727766930-24","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Nike Men`s Everyday Plus Cushioned Training Crew Socks 3 Pack","$22.64"
"1727766930-25","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Dickies Men's Dri-Tech Moisture Control Crew Socks, Available in M-XXL (6, 12, 18 Pairs)","Best Seller"
"1727766930-26","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Hanes Men's Tagless Boxer Underwear, Exposed Waistband, Multi-packs Available","Best Seller"
"1727766930-27","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","FITRELL 3 Pairs Compression Socks for Women and Men 20-30mmHg-Circulation Support Socks","$14.99"
"1727766930-28","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","BAMBOO COOL Men’s Underwear Boxer Briefs Soft Comfortable Underwear Boxer Briefs for Men (4 Pack or 7 Pack)","$36.99"
"1727766930-29","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","APEXUP Disposable Rain Ponchos for Adults, Emergency Rain Poncho for Camping Hiking Travelling","Best Seller"
"1727766930-30","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Hanes Men’s Total Support Pouch Boxer Briefs, X-Temp Cooling, Moisture-Wicking Underwear, Regular, Long-leg and Trunk, 3-Pack","$16.93"
"1727766930-31","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Calvin Klein Men's Cotton Classics 3-Pack Boxer Brief","$37.99"
"1727766930-32","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Fruit of the Loom mens Tag Free Woven Boxer Shorts, Relaxed Fit, Moisture Wicking, Assorted Color Multipacks","$21.48"
"1727766930-33","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Men's Sun Shirts Long Sleeve Rash Guard UPF 50+ UV SPF Fishing Running Swim Shirts Lightweight Quick Dry","$12.99"
"1727766930-34","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","MAGCOMSEN Men's Flannel Shirts Long Sleeve Button Down Flannel Shirt Jacket with Hood Casual Cotton Plaid Shirt","$41.98"
"1727766930-35","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Men's PU Leather Motorcycle Jacket Winter Moto Clothing Fashion Warm Overcoat","$54.99"
"1727766930-36","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Boladeci Men's Quarter Zip Pullover Premium Fleece Lined Heather Long Sleeve Golf Shirts Midweight 1/4 Half Zip Sweatshirts","$29.98"
"1727766930-37","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Hanes Men's Pocket Undershirt Pack, Cotton Crew Neck T-Shirt, Moisture Wicking Tee, Assorted 6-Pack","$21.98"
"1727766930-38","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","BALENNZ Athletic Shorts for Men with Pockets and Elastic Waistband Quick Dry Activewear","$43.99"
"1727766930-39","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","fenglaoda 8 Pairs Compression Socks for Men & Women 20-30 mmHg Knee High Nurse Pregnant Running Medical and Travel Athletic","$25.99"
"1727766930-40","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Hanes Men's Underwear Boxer Briefs, Cotton Stretch Moisture-Wicking Underwear, Multi-pack","$26.00"
"1727766930-41","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","adidas Men's Athletic Cushioned Quarter Socks with Arch Compression (6 Pairs)",""
"1727766930-42","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","PTEROMY Hooded Rain Poncho for Adult with Pocket, Waterproof Lightweight Unisex Raincoat for Hiking Camping Emergency","$18.95"
"1727766930-43","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Hanes Men's ComfortSoft Underwear Boxers, Soft Knit Moisture-Wicking Jersey Boxers, Multipack (Colors May Vary)","$23.98"
"1727766930-44","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Hanes Men's Cotton Tank Undershirts Pack, Moisture-Wicking Ribbed Tanks, Lightweight Cotton Tank Undershirts, 6-Pack","$18.98"
"1727766930-45","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Nike Men's Classic",""
"1727766930-46","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Fruit of the Loom Men's Sleeveless Tank A-Shirt, Tag Free & Moisture Wicking, Ribbed Stretch Fabric","$16.34"
"1727766930-47","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Mizuno Arm Sleeves","$29.99"
"1727766930-48","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","PURE CHAMP Mens 3 Pack Fleece Active Athletic Workout Jogger Sweatpants for Men with Zipper Pocket and Drawstring Size S-3XL","$39.99"
"1727766930-49","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Hanes Men's Cotton, Moisture-Wicking Crew Tee Undershirts, Multi-Packs Available","$18.98"
"1727766930-50","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Fruit of the Loom Men's Dual Defense No Show Socks (12 Pack)","$14.32"
"1727766930-51","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Physix Gear Compression Socks 20-30 mmHg - Men & Women - Running, Nurses, Shin Splints, Flight, Travel","$15.00"
"1727766930-52","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Yufree Grip Soccer Socks Anti Slip Non Slip Men's Athletic Socks for Football Basketball Sports, 4 Pair","$18.99"
"1727766930-53","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Hanes Men's Underwear Boxer Briefs Pack, Cotton ComfortSoft Boxer Brief for Men, Moisture-Wicking Breathable, Multipack","$19.98"
"1727766930-54","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Hanes Men's Moisture-Wicking Cotton Briefs, Available in White and Black, Multi-Packs Available","Best Seller"
"1727766930-55","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Fruit of the Loom Men's Coolzone Boxer Briefs, Moisture Wicking & Breathable, Assorted Color Multipacks","$24.90"
"1727766930-56","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Calvin Klein Men's Cotton Classics 7-Pack Boxer Brief","$75.99"
"1727766930-57","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","6 Pack Men's Quick Dry Long Sleeve Shirts Moisture Wicking Sun Protection UV UPF SPF Performance T-Shirt for Casual","$38.98"
"1727766930-58","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Fruit of the Loom Men's Eversoft Cotton Stay Tucked V-Neck T-Shirt","$17.42"
"1727766930-59","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Hanes Men's Hoodie, EcoSmart Fleece Hoodie, Hooded Sweatshirt for Men","$14.66"
"1727766930-60","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","adidas Men's Athletic Cushioned Low Cut Socks with Arch Compression for a Secure Fit (6-Pair)",""
"1727766935-61","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","https://www.amazon.com/s?i=fashion-mens-intl-ship&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&page=2&qid=1727766927&ref=sr_pg_1","Men's Quilted Sweatshirts Casual Long Sleeve Stand Collar Quarter Button Pullover Sweatshirt","$30.99"
"1727766935-62","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","https://www.amazon.com/s?i=fashion-mens-intl-ship&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&page=2&qid=1727766927&ref=sr_pg_1","MAGCOMSEN Men's Sweater Pullover Sweaters Crewneck Plaid Sweater Casual Cotton Sweater Fall Winter Sweater","$32.98"
"1727766935-63","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","https://www.amazon.com/s?i=fashion-mens-intl-ship&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&page=2&qid=1727766927&ref=sr_pg_1","FZNHQL Fashion Men's Tracksuits 2 Piece Casual Athletic Jogging Outfits Short/Long Sleeve Track Suits for Men Set","$36.99"
"1727766935-64","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","https://www.amazon.com/s?i=fashion-mens-intl-ship&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&page=2&qid=1727766927&ref=sr_pg_1","COOFANDY Mens Hawaiian Shirts Short Sleeve Button Down Aloha Shirt Casual Beach Clothes","$24.99"
"1727766935-65","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","https://www.amazon.com/s?i=fashion-mens-intl-ship&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&page=2&qid=1727766927&ref=sr_pg_1","Nike Dry Fit Low Cut (6 Pairs) Unisex Athletic Socks","$29.99"
"1727766935-66","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","https://www.amazon.com/s?i=fashion-mens-intl-ship&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&page=2&qid=1727766927&ref=sr_pg_1","Fruit of the Loom Men's Tag Free Woven Boxer Shorts, Relaxed Fit, Moisture Wicking, Assorted Color Multipacks","$21.48"
"1727766935-67","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","https://www.amazon.com/s?i=fashion-mens-intl-ship&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&page=2&qid=1727766927&ref=sr_pg_1","Fruit of the Loom Men's Tag-Free Cotton Briefs","$13.98"
"1727766935-68","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","https://www.amazon.com/s?i=fashion-mens-intl-ship&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&page=2&qid=1727766927&ref=sr_pg_1","Hanes Total Support Pouch Men's Boxer Brief Underwear, Anti-Chafing, Moisture-Wicking Odor Control, 3-Pack (Reg or Long Leg)","$15.40"
"1727766935-69","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","https://www.amazon.com/s?i=fashion-mens-intl-ship&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&page=2&qid=1727766927&ref=sr_pg_1","Ultra Performance 3 Pack Fleece Active Tech Joggers for Men, Mens Sweatpants with Zipper Pockets","$34.99"
"1727766935-70","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","https://www.amazon.com/s?i=fashion-mens-intl-ship&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&page=2&qid=1727766927&ref=sr_pg_1","APTYID Men's Moisture Wicking Cushioned Crew Work Boot Socks (4 Pairs / 6 Pairs)","$22.99"
"1727766935-71","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","https://www.amazon.com/s?i=fashion-mens-intl-ship&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&page=2&qid=1727766927&ref=sr_pg_1","JOYNÉE 8 Pairs Mens Crew Cushion Socks Work Athletic Running Socks Casual Breathable Socks for Men,Sock Size:10-13","$12.99"
"1727766935-72","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","https://www.amazon.com/s?i=fashion-mens-intl-ship&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&page=2&qid=1727766927&ref=sr_pg_1","TELALEO 4/5 Pack Mens Polo Shirts Quick Dry Short Sleeve Golf T Shirt Performance Moisture Wicking Casual Workout","$45.99"
"1727766935-73","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","https://www.amazon.com/s?i=fashion-mens-intl-ship&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&page=2&qid=1727766927&ref=sr_pg_1","Hanes Men's Max Cushioned Crew Socks, Moisture-Wicking with Odor Control, Multipack","$11.00"
"1727766935-74","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","https://www.amazon.com/s?i=fashion-mens-intl-ship&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&page=2&qid=1727766927&ref=sr_pg_1","FROGG TOGGS Men's Pro Lite Rain Suit, Waterproof, Breathable, Dependable Wet Weather Protection","$26.55"
"1727766935-75","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","https://www.amazon.com/s?i=fashion-mens-intl-ship&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&page=2&qid=1727766927&ref=sr_pg_1","adidas Men's Athletic Cushioned No Show Socks with Arch Compression for a Secure Fit (6 Pairs)",""
"1727766935-76","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","https://www.amazon.com/s?i=fashion-mens-intl-ship&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&page=2&qid=1727766927&ref=sr_pg_1","Hanes Men's Moisture-Wicking Crewneck Performance Undershirt, 5-Pack","$21.95"
